file_path,import_count,imports,top_level_modules
.venv/lib/python3.11/site-packages/PIL/BdfFontFile.py,3,from __future__ import; from typing import; from . import,; __future__; typing
.venv/lib/python3.11/site-packages/PIL/BlpImagePlugin.py,9,from __future__ import; import abc; import os; import struct; from enum import; from io import; from typing import; from . import; from .JpegImagePlugin import,; __future__; abc; enum; io; os; struct; typing
.venv/lib/python3.11/site-packages/PIL/BmpImagePlugin.py,9,from __future__ import; import os; from typing import; from . import; from ._binary import; from ._binary import; from ._binary import; from ._binary import; from ._binary import,; __future__; os; typing
.venv/lib/python3.11/site-packages/PIL/BufrStubImagePlugin.py,3,from __future__ import; from typing import; from . import,; __future__; typing
.venv/lib/python3.11/site-packages/PIL/ContainerIO.py,3,from __future__ import; import io; from typing import,__future__; io; typing
.venv/lib/python3.11/site-packages/PIL/CurImagePlugin.py,4,from __future__ import; from . import; from ._binary import; from ._binary import,; __future__
.venv/lib/python3.11/site-packages/PIL/DcxImagePlugin.py,4,from __future__ import; from . import; from ._binary import; from .PcxImagePlugin import,; __future__
.venv/lib/python3.11/site-packages/PIL/DdsImagePlugin.py,10,from __future__ import; import io; import struct; import sys; from enum import; from typing import; from . import; from ._binary import; from ._binary import; from ._binary import,; __future__; enum; io; struct; sys; typing
.venv/lib/python3.11/site-packages/PIL/EpsImagePlugin.py,12,from __future__ import; import io; import os; import re; import subprocess; import sys; import tempfile; from typing import; from . import; from ._binary import; from ._deprecate import; import shutil,; __future__; io; os; re; shutil; subprocess; sys; tempfile; typing
.venv/lib/python3.11/site-packages/PIL/ExifTags.py,2,from __future__ import; from enum import,__future__; enum
.venv/lib/python3.11/site-packages/PIL/FitsImagePlugin.py,4,from __future__ import; import gzip; import math; from . import,; __future__; gzip; math
.venv/lib/python3.11/site-packages/PIL/FliImagePlugin.py,6,from __future__ import; import os; from . import; from ._binary import; from ._binary import; from ._binary import,; __future__; os
.venv/lib/python3.11/site-packages/PIL/FontFile.py,4,from __future__ import; import os; from typing import; from . import,; __future__; os; typing
.venv/lib/python3.11/site-packages/PIL/FpxImagePlugin.py,4,from __future__ import; import olefile; from . import; from ._binary import,; __future__; olefile
.venv/lib/python3.11/site-packages/PIL/FtexImagePlugin.py,5,from __future__ import; import struct; from enum import; from io import; from . import,; __future__; enum; io; struct
.venv/lib/python3.11/site-packages/PIL/GbrImagePlugin.py,3,from __future__ import; from . import; from ._binary import,; __future__
.venv/lib/python3.11/site-packages/PIL/GdImageFile.py,6,from __future__ import; from typing import; from . import; from ._binary import; from ._binary import; from ._typing import,; __future__; typing
.venv/lib/python3.11/site-packages/PIL/GifImagePlugin.py,17,from __future__ import; import itertools; import math; import os; import subprocess; import sys; from enum import; from functools import; from typing import; from . import; from ._binary import; from ._binary import; from ._binary import; from . import; from copy import; from io import; from collections.abc import,; __future__; collections; copy; enum; functools; io; itertools; math; os; subprocess; sys; typing
.venv/lib/python3.11/site-packages/PIL/GimpGradientFile.py,4,from __future__ import; from math import; from typing import; from ._binary import,; __future__; math; typing
.venv/lib/python3.11/site-packages/PIL/GimpPaletteFile.py,4,from __future__ import; import re; from typing import; from ._binary import,; __future__; re; typing
.venv/lib/python3.11/site-packages/PIL/GribStubImagePlugin.py,3,from __future__ import; from typing import; from . import,; __future__; typing
.venv/lib/python3.11/site-packages/PIL/Hdf5StubImagePlugin.py,3,from __future__ import; from typing import; from . import,; __future__; typing
.venv/lib/python3.11/site-packages/PIL/IcnsImagePlugin.py,8,from __future__ import; import io; import os; import struct; import sys; from typing import; from . import; from . import,; __future__; io; os; struct; sys; typing
.venv/lib/python3.11/site-packages/PIL/IcoImagePlugin.py,11,from __future__ import; import warnings; from io import; from math import; from typing import; from . import; from ._binary import; from ._binary import; from ._binary import; from ._binary import; from ._binary import,; __future__; io; math; typing; warnings
.venv/lib/python3.11/site-packages/PIL/ImImagePlugin.py,5,from __future__ import; import os; import re; from typing import; from . import,; __future__; os; re; typing
.venv/lib/python3.11/site-packages/PIL/Image.py,67,from __future__ import; import abc; import atexit; import builtins; import io; import logging; import math; import os; import re; import struct; import sys; import tempfile; import warnings; from collections.abc import; from enum import; from types import; from typing import; from . import; from ._binary import; from ._deprecate import; from ._typing import; from ._util import; from defusedxml import; from . import; import cffi; from . import; from . import; from . import; from . import; from . import; from . import; from . import; import numpy; from packaging.version import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from . import; from PIL import; import numpy; from PIL import; import numpy; from PIL import; import numpy; from . import; from . import; from . import; from PIL import; from PIL import; from . import; from . import; from . import; from . import; from .TiffImagePlugin import,; PIL; __future__; abc; atexit; builtins; cffi; collections; defusedxml; enum; io; logging; math; numpy; os; packaging; re; struct; sys; tempfile; types; typing; warnings
.venv/lib/python3.11/site-packages/PIL/ImageChops.py,2,from __future__ import; from . import,; __future__
