file_path,import_count,imports,top_level_modules
agents/agente_modelos_contrato.py,5,import os; import json; from datetime import; from pathlib import; from openai import,datetime; json; openai; os; pathlib
agents/document_agent.py,4,from __future__ import; import json; from datetime import; from utils.ai_client import,__future__; datetime; json; utils
agents/github_bridge.py,3,import os; import subprocess; from datetime import,datetime; os; subprocess
agents/guide_agent.py,4,import os; import json; from datetime import; from openai import,datetime; json; openai; os
agents/stage_detector.py,3,import os; import json; from datetime import,datetime; json; os
apply_path_patch.py,1,import os,os
apply_safe_path_patch.py,3,import os; import re; from datetime import,datetime; os; re
debug_alertas.py,6,import importlib; import sys; import os; import json; from datetime import; import utils.alertas_pipeline,datetime; importlib; json; os; sys; utils
diagnostic_pipeline.py,8,import os; import sys; import json; import importlib.util; from pathlib import; from datetime import; from utils.next_pipeline import; import inspect,datetime; importlib; inspect; json; os; pathlib; sys; utils
exports/backup_integration_tr_duplicado_20251110_0220.py,5,import os; import json; from datetime import; from pathlib import; from utils.ai_client import,datetime; json; os; pathlib; utils
exports/backup_integration_tr_duplicado_20251110_0221.py,5,import os; import json; from datetime import; from pathlib import; from utils.ai_client import,datetime; json; os; pathlib; utils
generate_agents_homologation_report.py,3,import os; from datetime import; from docx import,datetime; docx; os
generate_auditoria_tecnica_vNext.py,6,import os; import json; import platform; import subprocess; from datetime import; from docx import,datetime; docx; json; os; platform; subprocess
generate_ptre_vNext.py,3,import os; from datetime import; from docx import,datetime; docx; os
knowledge/validators/Validador de Editais.py,13,import sys; import io; from datetime import; from pathlib import; import streamlit; from PIL import; from validators.edital_validator import; from knowledge.validators.edital_semantic_validator import; from reportlab.lib.pagesizes import; from reportlab.lib.styles import; from reportlab.platypus import; from reportlab.lib import; import pandas,PIL; datetime; io; knowledge; pandas; pathlib; reportlab; streamlit; sys; validators
knowledge/validators/__init__.py,0,,
knowledge/validators/contrato_semantic_validator.py,6,from __future__ import; from typing import; from pathlib import; import json; import re; import yaml,__future__; json; pathlib; re; typing; yaml
knowledge/validators/contrato_tecnico_semantic_validator.py,6,from __future__ import; from typing import; from pathlib import; import json; import re; import yaml,__future__; json; pathlib; re; typing; yaml
